borough;avg_income_month;avg_income_year
Adalar;6.652;79.821
Arnavutköy;2.030;24.360
Ataþehir;6.577;78.924
Avcýlar;3.662;43.938
Baðcýlar;3.197;38.367
Bahçelievler;4.674;56.088
Bakýrköy;8.845;106.140
Baþakþehir;4.513;54.152
Bayrampaþa;3.480;41.762
Beþiktaþ;10.560;126.720
Beykoz;3.693;44.316
Beylikdüzü;4.327;51.924
Beyoðlu;4.773;57.275
Büyükçekmece;3.671;44.049
Çatalca;2.128;25.536
Çekmeköy;3.503;42.033
Esenler;2.847;34.164
Esenyurt;3.024;36.288
Eyüp;4.670;56.044
Fatih;5.281;63.378
Gaziosmanpaþa;3.019;36.228
Güngören;3.388;40.656
Kadýköy;9.025;108.300
Kaðýthane;4.188;50.260
Kartal;4.120;49.443
Küçükçekmece;3.567;42.804
Maltepe;5.772;69.259
Pendik;3.055;36.664
Sancaktepe;2.633;31.602
Sarýyer;7.308;87.696
Sultanbeyli;2.172;26.064
Sultangazi;2.187;26.244
Þile;2.482;29.789
Þiþli;7.822;93.864
Tuzla;3.407;40.884
Ümraniye;3.637;43.641
Üsküdar;6.987;83.839
Zeytinburnu;3.644;43.732
